"Name","Team","Pos","Injury / Surgery Date","Injury / Surgery","Status","IL Retro Date","Eligible to Return","Return Date","Latest Update"
"Dakota Hudson","COL","SP","08/10/24","Elbow inflammation","Activated","08/11/24","10/10/24","09/30/24","Activated"
"Jhony Brito","SDP","SP","08/10/24","Strained elbow","Activated","09/22/24","11/21/24","09/30/24","Activated"
"Tyler Glasnow","LAD","SP","08/11/24","Sprained elbow","Activated","08/13/24","10/12/24","09/30/24","Activated"
"Jazz Chisholm Jr.","NYY","3B","08/12/24","Sprained elbow (non-throwing)","Activated","08/13/24","08/23/24","08/23/24","Activated"
"Cam Booser","BOS","RP","08/13/24","Elbow inflammation","Activated","08/14/24","08/29/24","09/11/24","Activated"
"Hunter Greene","CIN","SP","08/13/24","Elbow soreness","Activated","08/14/24","08/29/24","09/22/24","Activated"
"Randy Rodríguez","SFG","RP","08/13/24","Elbow inflammation","Activated","08/14/24","08/29/24","09/27/24","Activated"
"Dominic Leone","CHW","RP","08/14/24","Sprained elbow","Activated","08/15/24","10/14/24","09/30/24","Activated"
"Yimi García","SEA","RP","08/19/24","Elbow inflammation","Activated","08/20/24","10/19/24","09/30/24","Activated"
"Andrew Nardi","MIA","RP","08/21/24","Elbow discomfort","Activated","08/22/24","10/21/24","09/30/24","Activated"
"Carson Fulmer","LAA","SP","08/24/24","Elbow inflammation","Activated","08/27/24","09/11/24","09/30/24","Activated"
"Luis García","BOS","RP","08/26/24","Elbow inflammation","Activated","08/27/24","09/11/24","09/21/24","Activated"
"Justin Steele","CHC","SP","08/27/24","Elbow tendinitis","Activated","09/01/24","09/16/24","09/18/24","Activated"
"Jorge Mateo","BAL","INF/OF","08/28/24","Elbow surgery (internal brace)","Activated","07/24/24","09/22/24","09/30/24","Activated"
"Jeffrey Springs","TBR","SP","09/03/24","Elbow fatigue","Activated","09/05/24","09/20/24","09/30/24","Activated"
"Drew Thorpe","CHW","SP","09/07/24","Elbow surgery (bone spur removal)","Activated","08/01/24","08/16/24","09/30/24","Activated"
"Brennan Bernardino","BOS","RP","09/10/24","Elbow inflammation","Activated","09/11/24","09/26/24","09/30/24","Activated"
"John McMillon","MIA","RP","09/11/24","Elbow tightness","Activated","09/12/24","09/27/24","09/30/24","Activated"
